料理名,素材,サイト,写真,dish
"豚丼
Pork rice bowl",豚肉、コメ、ねぎ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/butadon_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_23_1.jpg,豚丼
"鮭のちゃんちゃん焼き
Grilled salmon with vegetables ",サケ、キャベツ、たまねぎ、人参、ピーマン、もやし、味噌,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sakenochanchanyaki_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_9_1.jpg,鮭のちゃんちゃん焼き
"いももち
Hokkaido potato rice cake",じゃがいも、片栗粉,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/imomochi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_8_1.jpg,いももち
"ニシン漬け
Pickled herring",ニシン、大根、キャベツ、人参、赤唐辛子、辛い,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishinzuke_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_5_1.jpg,ニシン漬け
"石狩鍋
Japanese style hot pot with salmon and vegetabels",サケ、キャベツ、大根、味噌,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ishikarinabe_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_2_1.jpg,石狩鍋
"いかめし
Rice stuffed squid",イカ、もち米、うるち米,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ikameshi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_27_1.jpg,いかめし
"ラーメン
Ramen",中華そば、長ねぎ、メンマ、チャーシュー、しょっぱい,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ramen_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_26_1.jpg,ラーメン
"赤飯
Rice with Azuki beans",うるち米、もち米、甘納豆、甘い,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sekihan_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_25_1.jpg,赤飯
"昆布巻き
Simmered fish wrapped in seaweed",昆布、サケ、ニシン、かんぴょう,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kobumaki_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_24_1.jpg,昆布巻き
"美唄のとりめし
Bibai style chicken rice",鶏肉、コメ、たまねぎ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/bibainotorimeshi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_22_1.jpg,美唄のとりめし
"美唄やきとり
Bibai style skewered chicken",鶏肉、レバー、ハツ、砂肝、内卵、たまねぎ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/bibaiyakitori_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_21_1.jpg,美唄やきとり
"室蘭焼き鳥
Muroran style skewered pork",豚肉、たまねぎ、洋辛子、辛い,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/muroranyakitori_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_20_1.jpg,室蘭焼き鳥
"鯨汁
Whale soup",塩くじら、こんにゃく、大根、豆腐,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kujirajiru_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_19_1.jpg,鯨汁
"ルイベ
Frozen salmon and trout",サケ、マス,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ruibe_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_18_1.jpg,ルイベ
"ニシン蕎麦
Herring buckwheat noodles",ニシン、そば,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/nishinsoba_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_17_1.jpg,ニシン蕎麦
"ザンギ
Hokkaido style deep-fried chichen",鶏肉、醤油、小麦粉、しょうが、にんにく、しょっぱい,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/zangi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_16_1.jpg,ザンギ
"シシャモの甘露煮
Sweetened boiled smelt fish",シシャモ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/shishamonokanroni_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_15_1.jpg,シシャモの甘露煮
"カスべの煮つけ
Skate boiled with soy sauce",カスベ、しょうが,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/kasubenonitsuke_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_14_1.jpg,カスべの煮つけ
"トキシラズの焼漬け
Summer-catch salmon grilled with soy sauce",トキシラズ,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tokishirazu_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_13_1.jpg,トキシラズの焼漬け
"いくらの醤油漬け
Pickled salmon roe",筋子、醤油、しお、しょっぱい,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/ikuranoshoyuzuke_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_12_1.jpg,いくらの醤油漬け
"たちの味噌汁
Milt miso soup",マダラまたはスケソウダラの白子、長ねぎ、味噌,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/tachinomisoshiru_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_11_1.jpg,たちの味噌汁
"べこ餅
Beko rice cake",白玉粉もしくは上新粉、片栗粉、砂糖、黒砂糖、甘い,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/bekomochi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_10_1.jpg,べこ餅
"飯寿司
Sushi rice",ニシン、ホッケ、サケ、コメ、キャベツ、人参、大根、しょうが,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/izushi_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_7_1.jpg,飯寿司
"松前漬
Matsumae style pickled fish",数の子、スルメ、昆布、人参,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/matsumaezuke_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_6_1.jpg,松前漬
"てっぽう汁
Crab soup",カニ、長ねぎ、豆腐、味噌,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/teppojiru_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_4_1.jpg,てっぽう汁
"三平汁
Sanpei style fish and vegetable soup",サケ、タラ、ニシン、じゃがいも、大根,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/sambeijiru_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_3_1.jpg,三平汁
"ジンギスカン
Hokkaido style mutton and lamb BBQ",羊肉、たまねぎ、もやし、ピーマン、とうもろこし,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/jingisukan_hokkaido.html,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/img/hokkaido_1_1.jpg,ジンギスカン
